prog_code,inst_name,prog_name,cutoff_2022,cutoff_2023,Cluster
1053107,JARAMOGI OGINGA ODINGA UNIVERSITY OF SCIENCE AND TECHNOLOGY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE WITH IT),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1057107,EGERTON UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),28.868,32.262,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1087107,KISII UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1087107,KISII UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1087107,KISII UNIVERSITY,BACHELOR OF ACTUARIAL SCIENCE,19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1111107,KENYATTA UNIVERSITY,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),31.842,34.474,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1114107,UNIVERSITY OF ELDORET,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,19.914,23.568,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1118107,UNIVERSITY OF KABIANGA,BACHELOR OF SCIENCE (ACTUARIAL SCIENCE),19.914,18.831,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.777,28.075,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.777,28.075,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.777,28.075,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.777,28.075,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
1164107,MULTIMEDIA UNIVERSITY OF KENYA,BACHELOR OF SCIENCE IN ACTUARIAL SCIENCE,25.777,28.075,"Actuarial Science, Accountancy, Mathematics, Economics, Statistics & Related"
